column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,percentage
step,156.0,335.0,179.0,-112.5,603.5,102688.0,1.6139263385209237
amount,13387.02,208713.71,195326.69,-279603.015,501703.745,338097.0,5.31380154716139
oldbalanceOrg,0.0,107303.66,107303.66,-160955.49,268259.15,1112552.0,17.485752724506572
newbalanceOrig,0.0,144187.14,144187.14,-216280.71000000002,360467.85000000003,1053643.0,16.5598919941785
oldbalanceDest,0.0,942820.55,942820.55,-1414230.8250000002,2357051.375,786315.0,12.358352376851045
newbalanceDest,0.0,1111568.51,1111568.51,-1667352.7650000001,2778921.2750000004,738756.0,11.610877280114167
isFraud,0.0,0.0,0.0,0.0,0.0,8213.0,0.12908204481801522
isFlaggedFraud,0.0,0.0,0.0,0.0,0.0,16.0,2.51468734577894E-4
